ECS ID,OEIS ID,Description,Terms
118,A002861,FAIL,"0, 1, 2, 4, 9, 20, 51, 125, 329, 862, 2311, 6217, 16949, 46350, 127714, 353272, 981753, 2737539, 7659789, 21492286, 60466130"
119,A000358,FAIL,"0, 1, 2, 2, 3, 3, 5, 5, 8, 10, 15, 19, 31, 41, 64, 94, 143, 211, 329, 493, 766"
120,A008619,FAIL,"1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7, 8, 8, 9, 9, 10, 10, 11"
121,A002866,FAIL,"1, 1, 4, 24, 192, 1920, 23040, 322560, 5160960, 92897280, 1857945600, 40874803200, 980995276800, 25505877196800, 714164561510400, 21424936845312000, 685597979049984000, 23310331287699456000, 839171926357180416000, 31888533201572855808000, 1275541328062914232320000"
122,A007840,FAIL,"0, 1, 3, 14, 88, 694, 6578, 72792, 920904, 13109088, 207360912, 3608233056, 68495486640, 1408631978064, 31197601660080, 740303842925184, 18738231641600256, 503937595069600896, 14349899305396086912, 431322634732516137216, 13646841876634025159424"
123,A000107,FAIL,"1, 1, 2, 5, 13, 35, 95, 262, 727, 2033, 5714, 16136, 45733, 130046, 370803, 1059838, 3035591, 8710736, 25036934, 72069134, 207727501"
124,A007317,FAIL,"0, 1, 2, 5, 15, 51, 188, 731, 2950, 12235, 51822, 223191, 974427, 4302645, 19181100, 86211885, 390248055, 1777495635, 8140539950, 37463689775, 173164232965"
125,A009444,FAIL,"0, 1, 3, 11, 58, 409, 3606, 38149, 470856, 6641793, 105398650, 1858413061, 36044759796, 762659322385, 17481598316742, 431535346662645, 11413394655983536, 321989729198400385, 9651573930139850610, 306321759739045148293, 10262156907184058219340"
126,A000070,FAIL,"0, 1, 2, 4, 7, 12, 19, 30, 45, 67, 97, 139, 195, 272, 373, 508, 684, 915, 1212, 1597, 2087"
127,A001519,FAIL,"1, 2, 5, 13, 34, 89, 233, 610, 1597, 4181, 10946, 28657, 75025, 196418, 514229, 1346269, 3524578, 9227465, 24157817, 63245986, 165580141"
128,A009199,FAIL,"1, 0, 2, 6, 34, 220, 1688, 14868, 147684, 1631376, 19821912, 262573080, 3764276712, 58044604176, 957653604672, 16828739439120, 313742795670288, 6183918938706048, 128463999017594016, 2804979941504113248, 64214498598829776672"
129,A000712,FAIL,"1, 2, 5, 10, 20, 36, 65, 110, 185, 300, 481, 752, 1165, 1770, 2665, 3956, 5822, 8470, 12230, 17490, 24842"
130,A000031,FAIL,"0, 2, 3, 4, 6, 8, 14, 20, 36, 60, 108, 188, 352, 632, 1182, 2192, 4116, 7712, 14602, 27596, 52488"
131,A001517,FAIL,"1, 1, 3, 19, 193, 2721, 49171, 1084483, 28245729, 848456353, 28875761731, 1098127402131, 46150226651233, 2124008553358849, 106246577894593683, 5739439214861417731, 332993721039856822081, 20651350143685984386753, 1363322103204314826347779, 95453198574445723828731283, 7064900016612187878152462721"
132,A000012,FAIL,"1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1"
133,A000027,FAIL,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21"
134,A000038,FAIL,"0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
135,A000129,FAIL,"1, 0, 1, 2, 5, 12, 29, 70, 169, 408, 985, 2378, 5741, 13860, 33461, 80782, 195025, 470832, 1136689, 2744210, 6625109"
136,A000165,FAIL,"0, 2, 8, 48, 384, 3840, 46080, 645120, 10321920, 185794560, 3715891200, 81749606400, 1961990553600, 51011754393600, 1428329123020800, 42849873690624000, 1371195958099968000, 46620662575398912000, 1678343852714360832000, 63777066403145711616000, 2551082656125828464640000"
137,A000219,FAIL,"0, 1, 3, 6, 13, 24, 48, 86, 160, 282, 500, 859, 1479, 2485, 4167, 6879, 11297, 18334, 29601, 47330, 75278"
138,A000225,FAIL,"0, 1, 3, 7, 15, 31, 63, 127, 255, 511, 1023, 2047, 4095, 8191, 16383, 32767, 65535, 131071, 262143, 524287, 1048575"
139,A000407,FAIL,"1, 1, 6, 60, 840, 15120, 332640, 8648640, 259459200, 8821612800, 335221286400, 14079294028800, 647647525324800, 32382376266240000, 1748648318376960000, 101421602465863680000, 6288139352883548160000, 415017197290314178560000, 29051203810321992499200000, 2149789081963827444940800000, 167683548393178540705382400000"
140,A000776,FAIL,"0, 1, 3, 8, 28, 124, 668, 4248, 31176, 259488, 2416032, 24886080, 281004480, 3451887360, 45832538880, 654109585920, 9986000371200, 162391354675200, 2802498609254400, 51156349822771200, 984775394044108800"
141,A000990,FAIL,"1, 1, 3, 6, 13, 24, 48, 86, 160, 282, 500, 859, 1479, 2485, 4167, 6879, 11297, 18334, 29601, 47330, 75278"
142,A001045,FAIL,"0, 0, 1, 1, 3, 5, 11, 21, 43, 85, 171, 341, 683, 1365, 2731, 5461, 10923, 21845, 43691, 87381, 174763"
143,A001333,FAIL,"0, 1, 3, 7, 17, 41, 99, 239, 577, 1393, 3363, 8119, 19601, 47321, 114243, 275807, 665857, 1607521, 3880899, 9369319, 22619537"
144,A001372,FAIL,"1, 1, 3, 7, 19, 47, 130, 343, 951, 2615, 7318, 20491, 57903, 163898, 466199, 1328993, 3799624, 10884049, 31241170, 89814958, 258604642"
145,A001700,FAIL,"1, 1, 3, 10, 35, 126, 462, 1716, 6435, 24310, 92378, 352716, 1352078, 5200300, 20058300, 77558760, 300540195, 1166803110, 4537567650, 17672631900, 68923264410"
146,A001792,FAIL,"0, 1, 3, 8, 20, 48, 112, 256, 576, 1280, 2816, 6144, 13312, 28672, 61440, 131072, 278528, 589824, 1245184, 2621440, 5505024"
147,A001906,FAIL,"1, 1, 3, 8, 21, 55, 144, 377, 987, 2584, 6765, 17711, 46368, 121393, 317811, 832040, 2178309, 5702887, 14930352, 39088169, 102334155"
148,A001970,FAIL,"0, 1, 3, 6, 14, 27, 58, 111, 223, 424, 817, 1527, 2870, 5279, 9710, 17622, 31877, 57100, 101887, 180406, 318106"
149,A002050,FAIL,"0, 1, 5, 25, 149, 1081, 9365, 94585, 1091669, 14174521, 204495125, 3245265145, 56183135189, 1053716696761, 21282685940885, 460566381955705, 10631309363962709, 260741534058271801, 6771069326513690645, 185603174638656822265, 5355375592488768406229"
150,A002627,FAIL,"0, 1, 3, 10, 41, 206, 1237, 8660, 69281, 623530, 6235301, 68588312, 823059745, 10699776686, 149796873605, 2246953104076, 35951249665217, 611171244308690, 11001082397556421, 209020565553572000, 4180411311071440001"
151,A003945,FAIL,"0, 1, 3, 7, 15, 31, 63, 127, 255, 511, 1023, 2047, 4095, 8191, 16383, 32767, 65535, 131071, 262143, 524287, 1048575"
152,A005493,FAIL,"0, 1, 3, 10, 37, 151, 674, 3263, 17007, 94828, 562595, 3535027, 23430840, 163254885, 1192059223, 9097183602, 72384727657, 599211936355, 5150665398898, 45891416030315, 423145657921379"
153,A005572,FAIL,"1, 1, 4, 17, 76, 354, 1704, 8421, 42508, 218318, 1137400, 5996938, 31940792, 171605956, 928931280, 5061593709, 27739833228, 152809506582, 845646470616, 4699126915422, 26209721959656"
154,A005649,FAIL,"1, 2, 8, 44, 308, 2612, 25988, 296564, 3816548, 54667412, 862440068, 14857100084, 277474957988, 5584100659412, 120462266974148, 2772968936479604, 67843210855558628, 1757952715142990612, 48093560991292628228, 1385244691781856307124, 41901256397374229042468"
155,A006012,FAIL,"0, 2, 6, 20, 68, 232, 792, 2704, 9232, 31520, 107616, 367424, 1254464, 4283008, 14623104, 49926400, 170459392, 581984768, 1987020288, 6784111616, 23162405888"
156,A006152,FAIL,"0, 1, 2, 9, 52, 365, 3006, 28357, 301064, 3549177, 45965530, 648352001, 9888877692, 162112109029, 2841669616982, 53025262866045, 1049180850990736, 21937381717388657, 483239096122434354, 11184035897992673017, 271287473871771163460"
157,A006155,FAIL,"1, 2, 9, 61, 551, 6221, 84285, 1332255, 24066691, 489100297, 11044268633, 274327080611, 7433424980943, 218208342366093, 6898241919264181, 233651576126946103, 8441657595745501019, 324052733365292875025, 13171257161208184782225, 565092918793429218839307, 25520483369448611577533095"
158,A006190,FAIL,"1, 0, 1, 3, 10, 33, 109, 360, 1189, 3927, 12970, 42837, 141481, 467280, 1543321, 5097243, 16835050, 55602393, 183642229, 606529080, 2003229469"
159,A006318,FAIL,"0, 1, 2, 6, 22, 90, 394, 1806, 8558, 41586, 206098, 1037718, 5293446, 27297738, 142078746, 745387038, 3937603038, 20927156706, 111818026018, 600318853926, 3236724317174"
160,A006677,FAIL,"0, 1, 2, 7, 41, 346, 3797, 51157, 816356, 15050581, 314726117, 7359554632, 190283748371, 5389914888541, 165983936096162, 5521346346543307, 197294173392918461, 7536892461493548226, 306520422583290179057, 13222422454704116605057, 603006160203712090160876"
161,A006951,FAIL,"0, 1, 1, 3, 6, 14, 27, 60, 117, 246, 490, 1002, 1998, 4053, 8088, 16284, 32559, 65330, 130626, 261726, 523374"
162,A006952,FAIL,"0, 2, 8, 24, 78, 232, 720, 2152, 6528, 19578, 58944, 176808, 531128, 1593288, 4781952, 14345792, 43043622, 129130584, 387411144, 1162232520, 3486755688"
163,A007051,FAIL,"0, 1, 2, 5, 14, 41, 122, 365, 1094, 3281, 9842, 29525, 88574, 265721, 797162, 2391485, 7174454, 21523361, 64570082, 193710245, 581130734"
164,A007052,FAIL,"1, 1, 3, 10, 34, 116, 396, 1352, 4616, 15760, 53808, 183712, 627232, 2141504, 7311552, 24963200, 85229696, 290992384, 993510144, 3392055808, 11581202944"
165,A007526,FAIL,"0, 1, 4, 15, 64, 325, 1956, 13699, 109600, 986409, 9864100, 108505111, 1302061344, 16926797485, 236975164804, 3554627472075, 56874039553216, 966858672404689, 17403456103284420, 330665665962403999, 6613313319248080000"
166,A007550,FAIL,"0, 1, 4, 20, 127, 967, 8549, 85829, 962308, 11895252, 160475855, 2343491207, 36795832297, 617662302441, 11031160457672, 208736299803440, 4169680371133507, 87648971646028515, 1933298000313801349, 44633323736412392093, 1076069422794010119112"
167,A007563,FAIL,"1, 1, 3, 8, 25, 77, 258, 871, 3049, 10834, 39207, 143609, 532193, 1990163, 7503471, 28486071, 108809503, 417862340, 1612440612, 6248778642, 24309992576"
168,A007582,FAIL,"0, 1, 3, 10, 36, 136, 528, 2080, 8256, 32896, 131328, 524800, 2098176, 8390656, 33558528, 134225920, 536887296, 2147516416, 8590000128, 34359869440, 137439215616"
169,A007689,FAIL,"0, 2, 5, 13, 35, 97, 275, 793, 2315, 6817, 20195, 60073, 179195, 535537, 1602515, 4799353, 14381675, 43112257, 129271235, 387682633, 1162785755"
170,A008776,FAIL,"1, 2, 6, 18, 54, 162, 486, 1458, 4374, 13122, 39366, 118098, 354294, 1062882, 3188646, 9565938, 28697814, 86093442, 258280326, 774840978, 2324522934"
171,A009117,FAIL,"1, 2, 8, 32, 128, 512, 2048, 8192, 32768, 131072, 524288, 2097152, 8388608, 33554432, 134217728, 536870912, 2147483648, 8589934592, 34359738368, 137438953472, 549755813888"
172,A009318,FAIL,"0, 1, 4, 16, 79, 498, 3903, 36727, 403548, 5071441, 71752592, 1128768188, 19545504383, 369430614902, 7568453115871, 167056552799575, 3952337703492608, 99774721152384553, 2676963889524158084, 76067112266151867312, 2282055475092930611991"
173,A009324,FAIL,"0, 1, 4, 19, 125, 1083, 11669, 150512, 2262546, 38851957, 750394759, 16102118954, 380058372572, 9785829784651, 272962664838317, 8199582838569366, 263901999580713904, 9059869807873906105, 330468448384810109019, 12763258092699749753194, 520324363216878538958812"
174,A000008,number of ways to make n cents with coins of 1 2 5 10 cents,"1, 1, 2, 2, 3, 4, 5, 6, 7, 8, 11, 12, 15, 16, 19, 22, 25, 28, 31, 34, 40"
175,A001299,number of ways to make n cents with coins of 1 5 10 25 cents,"1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 4, 4, 4, 4, 4, 6, 6, 6, 6, 6, 9"
176,A001300,number of ways to make n cents with coins of 1 5 10 25 50 cents,"1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 4, 4, 4, 4, 4, 6, 6, 6, 6, 6, 9"
177,A001301,number of ways to make n cents with coins of 1 2 5 10 25 cents,"1, 1, 2, 2, 3, 4, 5, 6, 7, 8, 11, 12, 15, 16, 19, 22, 25, 28, 31, 34, 40"
178,A001302,number of ways to make n cents with coins of 1 2 5 10 25 50 cents,"1, 1, 2, 2, 3, 4, 5, 6, 7, 8, 11, 12, 15, 16, 19, 22, 25, 28, 31, 34, 40"
179,A001306,number of ways to make n cents with coins of 1 5 10 20 50 100 cents,"1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 4, 4, 4, 4, 4, 6, 6, 6, 6, 6, 10"
180,A001310,number of ways to make n cents with coins of 1 2 4 10 20 40 100 cents,"1, 1, 2, 2, 4, 4, 6, 6, 9, 9, 13, 13, 18, 18, 24, 24, 31, 31, 39, 39, 50"
181,A001312,number of ways to make n cents with coins of 1 2 5 10 50 100 cents,"1, 1, 2, 2, 3, 4, 5, 6, 7, 8, 11, 12, 15, 16, 19, 22, 25, 28, 31, 34, 40"
182,A001313,number of ways to make n cents with coins of 1 2 5 10 20 50 cents,"1, 1, 2, 2, 3, 4, 5, 6, 7, 8, 11, 12, 15, 16, 19, 22, 25, 28, 31, 34, 41"
183,A001314,number of ways to make n cents with coins of 2 5 5 10 20 50 cents,"1, 0, 1, 0, 1, 2, 1, 2, 1, 2, 5, 2, 5, 2, 5, 8, 5, 8, 5, 8, 15"
184,A001319,number of ways to make n cents with coins of 2 5 10 20 50 cents,"1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 3, 1, 3, 1, 3, 3, 3, 3, 3, 3, 7"
185,A001343,number of ways to make n cents with coins of 5 10 20 50 100 cents,"1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 4"
186,A001362,number of ways to make n cents with coins of 1 2 4 10 cents,"1, 1, 2, 2, 4, 4, 6, 6, 9, 9, 13, 13, 18, 18, 24, 24, 31, 31, 39, 39, 49"
187,A001364,number of ways to make n cents with coins of 1 2 4 12 24 48 96 120 cents,"1, 1, 2, 2, 4, 4, 6, 6, 9, 9, 12, 12, 17, 17, 22, 22, 29, 29, 36, 36, 45"
188,A008732,number of ways to make n cents with coins of 1 1 5 cents,"1, 2, 3, 4, 5, 7, 9, 11, 13, 15, 18, 21, 24, 27, 30, 34, 38, 42, 46, 50, 55"
189,A008724,number of ways to make n cents with coins of 1 1 6 cents,"1, 2, 3, 4, 5, 6, 8, 10, 12, 14, 16, 18, 21, 24, 27, 30, 33, 36, 40, 44, 48"
190,A008725,number of ways to make n cents with coins of 1 1 7 cents,"1, 2, 3, 4, 5, 6, 7, 9, 11, 13, 15, 17, 19, 21, 24, 27, 30, 33, 36, 39, 42"
191,A008726,number of ways to make n cents with coins of 1 1 8 cents,"1, 2, 3, 4, 5, 6, 7, 8, 10, 12, 14, 16, 18, 20, 22, 24, 27, 30, 33, 36, 39"
192,A008727,number of ways to make n cents with coins of 1 1 9 cents,"1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 13, 15, 17, 19, 21, 23, 25, 27, 30, 33, 36"
193,A008728,number of ways to make n cents with coins of 1 1 10 cents,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 33"
194,A008729,number of ways to make n cents with coins of 1 1 11 cents,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 15, 17, 19, 21, 23, 25, 27, 29, 31"
195,A008730,number of ways to make n cents with coins of 1 1 12 cents,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30"
196,A000601,number of ways to make n cents with coins of 1 1 2 3 cents,"1, 2, 4, 7, 11, 16, 23, 31, 41, 53, 67, 83, 102, 123, 147, 174, 204, 237, 274, 314, 358"
197,A008804,number of ways to make n cents with coins of 1 1 2 4 cents,"1, 2, 4, 6, 10, 14, 20, 26, 35, 44, 56, 68, 84, 100, 120, 140, 165, 190, 220, 250, 286"
198,A001304,number of ways to make n cents with coins of 1 1 2 5 cents,"1, 2, 4, 6, 9, 13, 18, 24, 31, 39, 49, 60, 73, 87, 103, 121, 141, 163, 187, 213, 242"
199,A002621,number of ways to make n cents with coins of 1 1 2 3 4 cents,"1, 2, 4, 7, 12, 18, 27, 38, 53, 71, 94, 121, 155, 194, 241, 295, 359, 431, 515, 609, 717"
200,A001307,number of ways to make n cents with coins of 1 1 2 4 10 20 cents,"1, 2, 4, 6, 10, 14, 20, 26, 35, 44, 57, 70, 88, 106, 130, 154, 185, 216, 255, 294, 344"
201,A001305,number of ways to make n cents with coins of 1 1 2 5 10 20 cents,"1, 2, 4, 6, 9, 13, 18, 24, 31, 39, 50, 62, 77, 93, 112, 134, 159, 187, 218, 252, 293"
202,A001311,number of ways to make n cents with coins of 1 1 2 5 10 20 cents,"1, 2, 4, 6, 9, 13, 18, 24, 31, 39, 50, 62, 77, 93, 112, 134, 159, 187, 218, 252, 293"
203,A002623,number of ways to make n cents with coins of 1 1 1 2 cents,"1, 3, 7, 13, 22, 34, 50, 70, 95, 125, 161, 203, 252, 308, 372, 444, 525, 615, 715, 825, 946"
204,A002624,number of ways to make n cents with coins of 1 1 1 2 2 cents,"1, 3, 8, 16, 30, 50, 80, 120, 175, 245, 336, 448, 588, 756, 960, 1200, 1485, 1815, 2200, 2640, 3146"
205,A002625,number of ways to make n cents with coins of 1 1 1 2 2 3 cents,"1, 3, 8, 17, 33, 58, 97, 153, 233, 342, 489, 681, 930, 1245, 1641, 2130, 2730, 3456, 4330, 5370, 6602"
206,A002626,number of ways to make n cents with coins of 1 1 1 2 2 3 4 cents,"1, 3, 8, 17, 34, 61, 105, 170, 267, 403, 594, 851, 1197, 1648, 2235, 2981, 3927, 5104, 6565, 8351, 10529"
207,A001840,number of ways to make n cents with coins of 1 1 3 cents,"1, 2, 3, 5, 7, 9, 12, 15, 18, 22, 26, 30, 35, 40, 45, 51, 57, 63, 70, 77, 84"
208,A001972,number of ways to make n cents with coins of 1 1 4 cents,"1, 2, 3, 4, 6, 8, 10, 12, 15, 18, 21, 24, 28, 32, 36, 40, 45, 50, 55, 60, 66"
209,A008619,number of ways to make n cents with coins of 1 2 cents,"1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7, 8, 8, 9, 9, 10, 10, 11"
210,A008620,number of ways to make n cents with coins of 1 3 cents,"1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7"
211,A008621,number of ways to make n cents with coins of 1 4 cents,"1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 5, 6"
212,A008615,number of ways to make n cents with coins of 2 3 cents,"1, 0, 1, 1, 1, 1, 2, 1, 2, 2, 2, 2, 3, 2, 3, 3, 3, 3, 4, 3, 4"
213,A008616,number of ways to make n cents with coins of 2 5 cents,"1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 2, 2, 2, 2, 2, 2, 3"
214,A008617,number of ways to make n cents with coins of 2 7 cents,"1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 2, 1, 2"
215,A008618,number of ways to make n cents with coins of 2 9 cents,"1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2"
216,A008679,number of ways to make n cents with coins of 3 4 cents,"1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 2, 1, 2, 2, 2"
217,A008676,number of ways to make n cents with coins of 3 5 cents,"1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 2"
218,A008672,number of ways to make n cents with coins of 1 3 5 cents,"1, 1, 1, 2, 2, 3, 4, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 17, 18, 20"
219,A008649,number of ways to make n cents with coins of 1 3 9 cents,"1, 1, 1, 2, 2, 2, 3, 3, 3, 5, 5, 5, 7, 7, 7, 9, 9, 9, 12, 12, 12"
220,A008652,number of ways to make n cents with coins of 1 4 16 cents,"1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 6, 6, 6, 6, 8"
221,A008648,number of ways to make n cents with coins of 1 5 25 cents,"1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5"
222,A008731,number of ways to make n cents with coins of 2 2 3 cents,"1, 0, 2, 1, 3, 2, 5, 3, 7, 5, 9, 7, 12, 9, 15, 12, 18, 15, 22, 18, 26"
223,A008720,number of ways to make n cents with coins of 2 2 5 cents,"1, 0, 2, 0, 3, 1, 4, 2, 5, 3, 7, 4, 9, 5, 11, 7, 13, 9, 15, 11, 18"
224,A008721,number of ways to make n cents with coins of 2 2 7 cents,"1, 0, 2, 0, 3, 0, 4, 1, 5, 2, 6, 3, 7, 4, 9, 5, 11, 6, 13, 7, 15"
225,A008722,number of ways to make n cents with coins of 2 2 9 cents,"1, 0, 2, 0, 3, 0, 4, 0, 5, 1, 6, 2, 7, 3, 8, 4, 9, 5, 11, 6, 13"
226,A008723,number of ways to make n cents with coins of 2 2 11 cents,"1, 0, 2, 0, 3, 0, 4, 0, 5, 0, 6, 1, 7, 2, 8, 3, 9, 4, 10, 5, 11"
227,A008671,number of ways to make n cents with coins of 2 3 7 cents,"1, 0, 1, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7, 8"
228,A008680,number of ways to make n cents with coins of 3 4 5 cents,"1, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 6"
